symptoms,disease
"Chest pain or discomfort (often described as pressure, squeezing, fullness, or pain), shortness of breath, pain or discomfort in one or both arms, the back, neck, jaw, or stomach, cold sweat, nausea, lightheadedness.",Heart Attack
"Sudden chest pain (pressure, squeezing), shortness of breath, pain radiating to the left arm, jaw, or back, nausea, sweating, lightheadedness.",Heart Attack
"irregular heartbeat,palpitations,fluttering in chest,chest pain,shortness of breath",Arrhythmia
"dizziness,lightheadedness,fainting,fatigue,weakness",Arrhythmia
"fast heartbeat,slow heartbeat,skipped beats,chest discomfort,anxiety",Arrhythmia
"heart racing or fluttering,skipped heartbeats,chest pain,shortness of breath,dizziness,fainting",Arrhythmia
"Palpitations (feeling of skipped beats, fluttering, or racing heart), dizziness, shortness of breath, chest pain, fainting.",Arrhythmia
"shortness of breath,fatigue,swelling in legs,ankles,and feet,rapid or irregular heartbeat,persistent cough or wheezing",Heart Failure
"difficulty breathing when lying down,weight gain,abdominal swelling,loss of appetite,nausea",Heart Failure
"reduced ability to exercise,swollen ankles and legs,irregular pulse,chest pain,fatigue",Heart Failure
"Shortness of breath (especially with exertion or when lying down), fatigue, swelling in legs, ankles, and feet, rapid or irregular heartbeat, persistent cough or wheezing.",Heart Failure
"Swelling in legs/ankles/feet, shortness of breath, fatigue, rapid/irregular heartbeat.",Heart Failure
"high blood pressure,headaches,nosebleeds,dizziness,shortness of breath,chest pain",Hypertension
"blurred vision,fatigue,nausea,vomiting,severe headache",Hypertension
"often asymptomatic,severe headache,nosebleeds,vision problems,chest pain,difficulty breathing",Hypertension
"headache, nosebleeds, shortness of breath",Hypertension
"Frequently has NO SYMPTOMS. Severe hypertension *might* cause headaches, shortness of breath, or nosebleeds.",Hypertension
"shortness of breath,wheezing,chronic cough,chest tightness,frequent respiratory infections",COPD
"excess mucus production,fatigue,blue lips or fingernail beds,swelling in ankles,feet,or legs",COPD
"difficulty breathing,chronic cough with mucus,wheezing,chest tightness,frequent colds or flu",COPD
"Chronic cough (often with mucus), shortness of breath (especially with exertion), wheezing, chest tightness.",COPD
"Persistent cough with mucus, shortness of breath (especially with activity), wheezing, chest tightness.",COPD
"leg pain,leg cramps,numbness or weakness in legs,coldness in lower leg or foot,sores on toes,feet,or legs that won't heal",Peripheral Artery Disease
"shiny skin on legs,hair loss on legs,weak or absent pulse in legs or feet,gangrene",Peripheral Artery Disease
"leg pain that worsens when walking or exercising and improves with rest (intermittent claudication),numbness or weakness in legs,coldness in lower legs or feet,sores on toes,feet,or legs that heal slowly",Peripheral Artery Disease
"Pain or cramping in legs during exercise that resolves with rest (claudication), numbness, tingling, or weakness in legs, cold feet or legs., sores or wounds on legs/feet that don't heal.",Peripheral Artery Disease
"Leg pain when walking (claudication), numbness or coldness in legs/feet, sores on feet that don't heal. ",Peripheral Artery Disease
"sudden shortness of breath,chest pain that worsens with breathing or coughing,cough,coughing up blood,rapid or irregular heartbeat",Pulmonary Embolism
"dizziness,lightheadedness,fainting,sweating,anxiety,leg pain or swelling",Pulmonary Embolism
"sudden, sharp chest pain,shortness of breath,coughing up blood,rapid heart rate,dizziness",Pulmonary Embolism
"Sudden shortness of breath, sharp chest pain (worse with deep breaths), cough (may cough up blood), rapid heart rate, dizziness.",Pulmonary Embolism
"Sudden shortness of breath, sharp chest pain (worse on inhaling), coughing (possibly with blood), rapid heart rate.",Pulmonary Embolism
"leg swelling,leg pain or tenderness,redness or discoloration of skin,warmth in affected leg,leg fatigue",Deep Vein Thrombosis
"swelling,pain,tenderness,redness,and warmth in one leg (usually the calf)",Deep Vein Thrombosis
"leg pain that may worsen when bending the foot,swelling in the affected leg,red or discolored skin,warmth in the affected area",Deep Vein Thrombosis
"Pain, swelling, redness, and warmth in one leg (usually the calf), may be asymptomatic.",Deep Vein Thrombosis
"Swelling, pain, redness, and warmth in the affected leg (usually the calf).",Deep Vein Thrombosis
"shallow, open sore on leg,swelling in leg,aching or heaviness in leg,discolored skin around sore,itching",Venous Ulcer
"leg pain,swelling,heaviness,skin discoloration,open sores (usually around the ankle)",Venous Ulcer
"open sore on the lower leg (usually around the ankle),leg pain,swelling,heaviness,itching,skin discoloration",Venous Ulcer
"Open sore on the lower leg (usually near the ankle), often with swelling, aching, and discolored skin around the ulcer.",Venous Ulcer
"Open sore (usually on the lower leg, especially around the ankle), often with swelling, pain, and discolored skin.",Venous Ulcer
"sharp, stabbing chest pain,chest pain that worsens with breathing or coughing,shortness of breath,fever,pericardial friction rub",Pericarditis
"chest pain that worsens when lying down or taking a deep breath,pain that improves when sitting up and leaning forward,rapid heart rate,fatigue",Pericarditis
"sharp chest pain (often worse when lying down or taking a deep breath),fever,weakness,shortness of breath,palpitations",Pericarditis
"Sharp, stabbing chest pain (often worse with deep breaths or lying down), fever, weakness, cough.",Pericarditis
"Sharp chest pain(worsened by deep breath or lying down),, may radiate to shoulder or neck, fever, fatigue.",Pericarditis
"shortness of breath,cyanosis,chest pain,heart murmur,fatigue,swelling in legs or ankles",Eisenmenger's Syndrome
"clubbing of fingers and toes,dizziness,fainting,exercise intolerance,irregular heartbeat",Eisenmenger's Syndrome
"shortness of breath,especially with exertion,cyanosis (bluish skin color),clubbing of fingers and toes,fatigue,chest pain,heart murmur",Eisenmenger's Syndrome
"Shortness of breath (especially with exertion), cyanosis (bluish skin), clubbing of fingers and toes, fatigue, dizziness, fainting.",Eisenmenger's Syndrome
"Shortness of breath (particularly on exertion), cyanosis (bluish skin), clubbing of fingers and toes, fainting, chest pain.",Eisenmenger's Syndrome
"fainting,seizures,abnormal heart rhythm,sudden cardiac arrest,chest pain,shortness of breath",Brugada Syndrome
"palpitations,dizziness,lightheadedness,nocturnal agonal respiration,family history of sudden cardiac death",Brugada Syndrome
"often asymptomatic,fainting (syncope),seizures,abnormal heart rhythm (ventricular fibrillation),sudden cardiac death,often triggered by fever",Brugada Syndrome
"Often asymptomatic.  Can cause fainting (syncope), seizures, and sudden cardiac death, particularly during sleep or rest.  An ECG shows a characteristic pattern.",Brugada Syndrome
"Fainting (syncope), irregular heartbeats, and increased risk of sudden cardiac death, often occurs at rest or sleep; may be asymptomatic; ECG shows characteristic pattern.",Brugada Syndrome
"headache,confusion,dizziness,nausea,vomiting,temporary loss of consciousness",Concussion
"memory problems,difficulty concentrating,sensitivity to light and noise,blurred vision,balance problems,irritability",Concussion
"headache,dizziness,confusion,nausea,vomiting,sensitivity to light and noise,memory problems",Concussion
"Headache, dizziness, confusion, memory problems, nausea, vomiting, sensitivity to light and noise.",Concussion
"Headache, confusion, dizziness, nausea, vomiting, and temporary loss of consciousness. May also have memory loss, difficulty concentrating, irritability, and sensitivity to light/noise.",Concussion
"sudden weakness on one side of face,facial drooping,drooling,difficulty closing eye,loss of taste",Bell's Palsy
"pain behind ear,sensitivity to sound,headache,dry eye,impaired taste",Bell's Palsy
"sudden onset of facial paralysis,drooping of one side of the face,difficulty closing eye,drooling,pain around the jaw or ear",Bell's Palsy
"Sudden weakness or paralysis on one side of the face, drooping eyelid and corner of the mouth, drooling, difficulty closing the eye, altered taste.",Bell's Palsy
"Sudden weakness/paralysis on one side of the face, drooping eyelid/mouth, drooling, dry eye/mouth, altered taste.",Bell's Palsy
"blurred vision,seeing halos around lights,eye pain,headache,nausea,vomiting",Glaucoma
"gradual loss of peripheral vision,tunnel vision,blind spots,eye redness,severe eye pain",Glaucoma
"often asymptomatic in early stages,gradual loss of peripheral vision (tunnel vision),blurred vision,halos around lights,eye pain",Glaucoma
"Often asymptomatic in early stages.  Gradual loss of peripheral vision (tunnel vision), blurred vision, halos around lights, eye pain (in acute angle-closure glaucoma).",Glaucoma
"Gradual loss of peripheral vision (tunnel vision), blurred vision, and halos around lights; may have eye pain.",Glaucoma
"cloudy or blurry vision,faded colors,poor night vision,sensitivity to light and glare,double vision",Cataracts
"halos around lights,frequent changes in eyeglass prescription,difficulty seeing at night,need for brighter light for reading",Cataracts
"cloudy or blurred vision,faded colors,poor night vision,halos around lights,double vision in one eye",Cataracts
"Cloudy or blurry vision, faded colors, poor night vision, halos around lights, double vision (in one eye).",Cataracts
"Cloudy/blurry vision, difficulty seeing at night, sensitivity to light/glare, faded colors.",Cataracts
"ringing in ears,buzzing,hissing,clicking,roaring,whooshing",Tinnitus
"constant or intermittent sound in ears,difficulty concentrating,sleep problems,anxiety,depression",Tinnitus
"ringing,buzzing,hissing,clicking,or other sounds in one or both ears,that are not caused by an external source",Tinnitus
"Ringing, buzzing, hissing, clicking, or other sounds in one or both ears that are not caused by an external source.",Tinnitus
"Perception of sound (ringing, buzzing, hissing, etc.) in one or both ears when no external sound is present.",Tinnitus
"throbbing headache,nausea,vomiting,sensitivity to light and sound,aura (visual disturbances)",Migraine
"one-sided headache,pulsating pain,blurred vision,dizziness,fatigue",Migraine
"severe, throbbing headache (often on one side),nausea,vomiting,sensitivity to light and sound,may be preceded by an aura (visual disturbances)",Migraine
"Severe, throbbing headache (often on one side), nausea, vomiting, sensitivity to light and sound. May have aura (visual disturbances, tingling, etc.).",Migraine
"Severe throbbing headache (usually one-sided), nausea, vomiting, sensitivity to light & sound; may have aura.",Migraine
"seizures,uncontrolled jerking movements,loss of consciousness,staring spells,temporary confusion",Epilepsy
"auras (unusual sensations before a seizure),muscle stiffness,loss of awareness,repetitive movements",Epilepsy
"recurrent seizures (uncontrolled electrical activity in the brain),which can cause a variety of symptoms,including: uncontrolled jerking movements,loss of consciousness,staring spells,temporary confusion",Epilepsy
"Recurrent seizures causing varied symptoms: uncontrolled jerking, loss of consciousness, staring spells, temporary confusion.",Epilepsy
"Recurrent seizures; symptoms vary: uncontrolled jerking, loss of consciousness, staring, confusion.",Epilepsy
"weakness on one side of body,numbness on one side of body,difficulty speaking,vision problems,dizziness,loss of balance",Stroke
"trouble walking,confusion,severe headache,facial drooping,slurred speech",Stroke
"sudden numbness or weakness of the face,arm,or leg,especially on one side of the body,sudden confusion,trouble speaking or understanding speech,sudden trouble seeing in one or both eyes,sudden trouble walking,dizziness,loss of balance or coordination,sudden severe headache with no known cause",Stroke
"Sudden numbness/weakness (especially one side), confusion, trouble speaking/understanding, vision problems, trouble walking/dizziness, severe headache.",Stroke
"Sudden numbness or weakness (especially on one side), trouble speaking/understanding, vision problems, trouble walking/dizziness, severe headache.",Stroke
"fatigue,numbness or tingling,vision problems,muscle weakness,coordination problems,spasticity",Multiple Sclerosis
"bladder problems,bowel problems,cognitive difficulties,depression,difficulty walking,tremors",Multiple Sclerosis
"fatigue,numbness or tingling,muscle weakness,vision problems,difficulty walking,coordination problems,bladder and bowel problems",Multiple Sclerosis
"Fatigue, numbness/tingling, vision problems, muscle weakness/spasms, difficulty walking, coordination problems, bladder/bowel issues.",Multiple Sclerosis
"Fatigue, numbness/tingling, vision problems, weakness/spasms, walking/coordination difficulty, bladder/bowel problems.",Multiple Sclerosis
"tremors,slow movement (bradykinesia),stiffness (rigidity),impaired balance,postural instability",Parkinson's Disease
"muscle rigidity,difficulty walking,difficulty swallowing,drooling,speech problems,loss of automatic movements",Parkinson's Disease
"tremor (shaking),bradykinesia (slowness of movement),rigidity (stiffness),postural instability (balance problems)",Parkinson's Disease
"Tremor (shaking), slow movement (bradykinesia), rigidity (stiffness), postural instability (balance problems).",Parkinson's Disease
"Tremor, slow movement (bradykinesia), rigidity, postural instability.",Parkinson's Disease
"memory loss,confusion,difficulty with familiar tasks,problems with language,disorientation,poor judgment",Alzheimer's Disease
"mood swings,personality changes,difficulty recognizing family and friends,wandering,getting lost in familiar places",Alzheimer's Disease
"memory loss that disrupts daily life,challenges in planning or solving problems,difficulty completing familiar tasks,confusion with time or place,trouble understanding visual images and spatial relationships,new problems with words in speaking or writing,misplacing things and losing the ability to retrace steps,decreased or poor judgment,withdrawal from work or social activities,changes in mood and personality",Alzheimer's Disease
"Memory loss, confusion, difficulty with familiar tasks, problems with language, disorientation, poor judgment, personality changes.",Alzheimer's Disease
"Memory loss, confusion, difficulty with familiar tasks, problems with language, disorientation, poor judgement, personality changes.",Alzheimer's Disease
"difficulty breathing through nose,nasal congestion,reduced sense of smell,facial pain or pressure,headache",Deviated Septum
"snoring,sleep apnea,frequent nosebleeds,recurrent sinus infections,mouth breathing",Deviated Septum
"nasal congestion,difficulty breathing through the nose,reduced sense of smell,frequent sinus infections,nosebleeds",Deviated Septum
"Difficulty breathing through the nose (especially one side), nasal congestion, recurrent sinus infections, nosebleeds, snoring.",Deviated Septum
"Difficulty breathing through nose (one side worse), nasal congestion, sinus infections, nosebleeds, snoring",Deviated Septum
"excessive daytime sleepiness,sudden loss of muscle tone (cataplexy),sleep paralysis,hallucinations,fragmented nighttime sleep",Narcolepsy
"sudden sleep attacks,difficulty staying awake during the day,automatic behaviors,vivid dreams,disturbed nighttime sleep",Narcolepsy
"excessive daytime sleepiness,cataplexy (sudden loss of muscle tone),sleep paralysis,hallucinations,disturbed nighttime sleep",Narcolepsy
"Excessive daytime sleepiness, cataplexy (sudden muscle weakness), sleep paralysis, hallucinations.",Narcolepsy
"Excessive daytime sleepiness, cataplexy (sudden muscle weakness triggered by emotions), sleep paralysis, hallucinations, disrupted nighttime sleep.",Narcolepsy
"uncomfortable sensations in legs,urge to move legs,worsening symptoms at rest,relief with movement,symptoms worse at night",Restless Legs Syndrome
"creeping,crawling,pulling,throbbing,aching,itching sensations in legs,difficulty sleeping,daytime fatigue",Restless Legs Syndrome
"uncomfortable sensations in the legs (creeping,crawling,itching,throbbing),an irresistible urge to move the legs,symptoms worsen at rest and at night,relief with movement",Restless Legs Syndrome
"Uncomfortable sensations in legs (creeping, crawling, pulling, throbbing), irresistible urge to move legs, symptoms worsen at rest and at night/evening, relieved by movement.",Restless Legs Syndrome
"Irresistible urge to move legs, uncomfortable sensations (creeping, crawling, etc.) in legs, worse at rest & at night, relieved by movement.",Restless Legs Syndrome
"difficulty falling asleep,difficulty staying asleep,waking up too early,non-restorative sleep,daytime fatigue",Insomnia
"irritability,difficulty concentrating,memory problems,poor performance at work or school,daytime sleepiness",Insomnia
"difficulty falling asleep,difficulty staying asleep,waking up too early,not feeling well-rested after sleep,daytime fatigue or sleepiness,irritability,difficulty concentrating",Insomnia
"Difficulty falling asleep, difficulty staying asleep, waking up too early, not feeling rested after sleep, daytime tiredness/sleepiness.",Insomnia
"Difficulty falling asleep, staying asleep, or waking up too early; daytime fatigue/sleepiness.",Insomnia
"headache,vision problems,nausea,vomiting,tinnitus,dizziness,papilledema (swelling of the optic nerve)", Pseudotumor Cerebri
"double vision,blurred vision,blind spots,brief episodes of vision loss,whooshing sound in ears", Pseudotumor Cerebri
"headache (often worse in the morning or with straining),vision changes (blurred vision, double vision, brief episodes of vision loss),tinnitus (ringing or whooshing sound in the ears),nausea,vomiting", Pseudotumor Cerebri
"Headache (often worse in the morning or with straining), vision changes (blurred/double vision, brief vision loss), pulsatile tinnitus (whooshing sound in ears).", Pseudotumor Cerebri
"Headache (worse with straining/morning), vision changes (blurred/double/loss), pulsatile tinnitus (whooshing).", Pseudotumor Cerebri
"numbness,tingling,burning pain,weakness,loss of sensation,difficulty with coordination,muscle cramps", Peripheral Neuropathy
"shooting pain,electric shock-like pain,sensitivity to touch,loss of balance,difficulty walking,foot drop", Peripheral Neuropathy
"numbness,tingling,prickling sensations,sharp, jabbing, throbbing, or burning pain,extreme sensitivity to touch,lack of coordination and falling,muscle weakness", Peripheral Neuropathy
"Numbness, tingling, burning pain, weakness (especially in hands and feet), loss of sensation, difficulty with coordination.", Peripheral Neuropathy
"Numbness, tingling, burning/shooting pain, weakness, loss of sensation (especially hands/feet).", Peripheral Neuropathy
"memory loss,confusion,difficulty with familiar tasks,problems with language,impaired judgment,personality changes,seizures,loss of movement",Creutzfeldt-Jakob Disease
"rapidly progressive dementia,muscle jerks (myoclonus),difficulty walking,coordination problems,speech problems,visual disturbances",Creutzfeldt-Jakob Disease
"rapidly progressive dementia,myoclonus (sudden, involuntary muscle jerks),ataxia (loss of coordination),visual disturbances,speech difficulties,personality changes",Creutzfeldt-Jakob Disease
"Rapidly progressive dementia, myoclonus (involuntary muscle jerks), ataxia (loss of coordination), visual disturbances, speech difficulties.",Creutzfeldt-Jakob Disease
"Rapidly progressive dementia, myoclonus (jerking movements), ataxia (poor coordination), personality changes, vision/speech problems.",Creutzfeldt-Jakob Disease
"involuntary movements (chorea),cognitive decline,psychiatric problems,difficulty walking,difficulty swallowing,speech problems",Huntington's Disease
"mood swings,depression,irritability,memory problems,difficulty concentrating,clumsiness",Huntington's Disease
"involuntary movements (chorea),cognitive decline (problems with memory, thinking, and judgment),psychiatric problems (depression, irritability, mood swings)",Huntington's Disease
"Involuntary movements (chorea), cognitive decline (memory, thinking, judgment), psychiatric problems (depression, irritability).",Huntington's Disease
"Involuntary movements (chorea), cognitive decline, psychiatric problems (depression, mood swings).",Huntington's Disease
"muscle weakness,muscle atrophy,difficulty speaking,difficulty swallowing,difficulty breathing,muscle twitching (fasciculations)",Amyotrophic Lateral Sclerosis
"muscle cramps,stiffness,slurred speech,weakness in hands,feet,or limbs,eventual paralysis",Amyotrophic Lateral Sclerosis
"progressive muscle weakness,muscle atrophy (wasting),fasciculations (muscle twitching),difficulty speaking,swallowing,and breathing",Amyotrophic Lateral Sclerosis
"Progressive muscle weakness and atrophy, fasciculations (muscle twitching), difficulty speaking, swallowing, and breathing.",Amyotrophic Lateral Sclerosis
"Progressive muscle weakness/atrophy, fasciculations (twitching), difficulty speaking/swallowing/breathing.",Amyotrophic Lateral Sclerosis
"sudden, severe headache,neck stiffness,nausea,vomiting,loss of consciousness,seizures,sensitivity to light",Subarachnoid Hemorrhage
"worst headache of life,sudden onset,altered mental status,focal neurological deficits,coma,meningismus",Subarachnoid Hemorrhage
"sudden, severe headache (often described as the ""worst headache of my life""),neck stiffness,nausea,vomiting,sensitivity to light (photophobia),loss of consciousness",Subarachnoid Hemorrhage
"Sudden severe headache, neck stiffness, nausea, vomiting, sensitivity to light, possible loss of consciousness",Subarachnoid Hemorrhage
"Sudden severe headache, neck stiffness, nausea, vomiting, photophobia, possible loss of consciousness",Subarachnoid Hemorrhage
"weakness or paralysis on one side of body,difficulty speaking,difficulty understanding speech,vision problems,dizziness,loss of balance", Hemiplegia
"loss of sensation on one side of body,difficulty swallowing,inability to move one side of body,facial droop,arm and leg weakness", Hemiplegia
"complete paralysis of one side of the body,including the face, arm, and leg", Hemiplegia
"Complete paralysis of one side of the body.", Hemiplegia
"Paralysis on one side of the body.", Hemiplegia
"heartburn,acid reflux,regurgitation,chest pain,difficulty swallowing,chronic cough,sore throat",GERD
"sour taste in mouth,hoarseness,feeling of a lump in throat,wheezing,asthma-like symptoms",GERD
"frequent heartburn,acid reflux (regurgitation),chest pain,difficulty swallowing (dysphagia),chronic cough,hoarseness",GERD
"Frequent heartburn, acid reflux (regurgitation), chest pain, difficulty swallowing, chronic cough.",GERD
"Heartburn, acid reflux, regurgitation, chest pain, difficulty swallowing.",GERD
"upper abdominal pain,nausea,vomiting,bloating,feeling of fullness,loss of appetite,indigestion",Gastritis
"belching,hiccups,black, tarry stools,vomiting blood,weight loss,fatigue",Gastritis
"upper abdominal pain or discomfort,nausea,vomiting,bloating,feeling of fullness,loss of appetite",Gastritis
"Upper abdominal pain, nausea, vomiting, bloating, feeling of fullness.",Gastritis
"Upper abdominal pain/burning, nausea, vomiting, bloating, feeling full quickly.",Gastritis
"upper abdominal pain,burning sensation,nausea,vomiting,bloating,feeling of fullness,pain that worsens with an empty stomach",Peptic Ulcer Disease
"dark, tarry stools,vomiting blood,loss of appetite,weight loss,indigestion,heartburn",Peptic Ulcer Disease
"burning stomach pain,heartburn,nausea,vomiting,bloating,feeling of fullness,intolerance to fatty foods",Peptic Ulcer Disease
"Burning stomach pain, heartburn, nausea, vomiting, bloating, feeling of fullness. Pain may worsen with an empty stomach.",Peptic Ulcer Disease
"Burning stomach pain, heartburn, nausea, bloating, feeling of fullness; pain may worsen when stomach is empty.",Peptic Ulcer Disease
"burning sensation in chest,acid reflux,regurgitation,nausea,vomiting,difficulty swallowing",Indigestion
"bloating,feeling of fullness,gas,abdominal discomfort,belching,hiccups",Indigestion
"upper abdominal discomfort or pain,bloating,belching,nausea,feeling of fullness,early satiety",Indigestion
"Upper abdominal discomfort, bloating, belching, nausea, feeling of fullness.",Indigestion
"Upper abdominal discomfort/pain, bloating, belching, nausea, feeling of fullness, heartburn.",Indigestion
"difficulty passing stools,infrequent bowel movements,hard stools,straining during bowel movements,feeling of incomplete evacuation",Constipation
"abdominal pain,bloating,gas,loss of appetite,headache,fatigue",Constipation
"infrequent bowel movements (typically less than three per week),hard, dry stools,straining during bowel movements,feeling of incomplete evacuation,abdominal discomfort",Constipation
"Infrequent bowel movements (less than 3 per week), hard/dry stools, straining during bowel movements, feeling of incomplete evacuation.",Constipation
"Infrequent bowel movements (<3 per week), hard stools, straining, feeling of incomplete emptying.",Constipation
"frequent, watery stools,abdominal cramps,nausea,vomiting,fever,dehydration",Diarrhea
"bloating,gas,loss of appetite,weakness,urgent need to have a bowel movement,abdominal pain",Diarrhea
"loose, watery stools,abdominal cramps,nausea,vomiting,fever,dehydration",Diarrhea
"Loose, watery stools (at least 3 times per day), abdominal cramps, nausea, possible fever.",Diarrhea
"Frequent, watery stools, abdominal cramps, nausea, vomiting, fever, dehydration.",Diarrhea
"abdominal pain,bloating,gas,diarrhea,constipation,mucus in stool",Irritable Bowel Syndrome
"changes in bowel habits,feeling of incomplete evacuation,urgency,abdominal discomfort,cramping",Irritable Bowel Syndrome
"abdominal pain,cramping, or bloating that is typically related to bowel movements,changes in the appearance of bowel movements,changes in how often you are having bowel movements (diarrhea,constipation,or alternating between the two)",Irritable Bowel Syndrome
"Abdominal pain, cramping, bloating related to bowel movements, changes in bowel habits (diarrhea, constipation, or alternating).",Irritable Bowel Syndrome
"Abdominal pain/cramping, bloating, gas, diarrhea, constipation, or alternating between the two.",Irritable Bowel Syndrome
"bad breath,mouth odor,unpleasant taste in mouth,coated tongue,dry mouth",Halitosis
"persistent bad breath,despite brushing and flossing,sour or bitter taste,white coating on tongue",Halitosis
"persistent bad breath that is not improved by brushing,flossing,or mouthwash",Halitosis
"Persistent bad breath that is not improved by brushing or flossing.",Halitosis
"Persistent bad breath.",Halitosis
"red, swollen gums,bleeding gums,tender gums,bad breath,receding gums",Gingivitis
"puffy gums,dark red gums,gums that bleed easily when brushing or flossing,bad breath,gum tenderness",Gingivitis
"red, swollen, tender gums that bleed easily (especially when brushing or flossing)",Gingivitis
"Red, swollen gums that bleed easily (especially when brushing or flossing).",Gingivitis
"Red, swollen, tender gums that bleed easily.",Gingivitis
"red, swollen gums,bleeding gums,bad breath,receding gums,loose teeth",Periodontitis
"deep pockets between gums and teeth,pus between teeth and gums,changes in bite,tooth loss,gum recession",Periodontitis
"inflammation of the gums and supporting structures of the teeth,red, swollen, and bleeding gums,bad breath,receding gums,loose teeth",Periodontitis
"Red, swollen gums that bleed easily, receding gums, loose teeth, bad breath, and deep pockets between teeth and gums.",Periodontitis
"Red, swollen, bleeding gums; receding gums; loose teeth; bad breath; pockets between teeth and gums.",Periodontitis
"sharp, brief pain in teeth,sensitivity to hot, cold, sweet, or acidic foods and drinks,pain when biting",Dentin Hypersensitivity
"tooth pain triggered by temperature changes,tooth pain triggered by sweets,tooth pain triggered by air,tooth sensitivity",Dentin Hypersensitivity
"sharp, short-lasting pain in the teeth triggered by hot, cold, sweet, or acidic foods and drinks,or by air",Dentin Hypersensitivity
"Sharp, brief tooth pain triggered by hot, cold, sweet, or acidic foods/drinks.",Dentin Hypersensitivity
"Sharp pain in teeth triggered by hot/cold/sweet/acidic foods or drinks.",Dentin Hypersensitivity
"jaw pain,jaw clicking or popping,headache,earache,difficulty opening or closing mouth",TMJ Disorder
"limited jaw movement,locking of jaw,facial pain,neck pain,muscle spasms in jaw",TMJ Disorder
"jaw pain,clicking, popping, or locking of the jaw,headaches,earaches,facial pain,difficulty chewing",TMJ Disorder
"Jaw pain, clicking/popping/locking of the jaw, headaches, earaches, facial pain.",TMJ Disorder
"Jaw pain, clicking/popping jaw, headaches, earaches, limited jaw movement.",TMJ Disorder
"difficulty opening mouth wide,jaw pain,muscle spasms in jaw,locked jaw,pain when chewing",Trismus
"limited jaw movement,difficulty swallowing,difficulty speaking,pain in jaw muscles,headache",Trismus
"limited mouth opening (difficulty opening the mouth wide),jaw pain,muscle spasms,difficulty chewing or swallowing",Trismus
"Limited mouth opening (difficulty opening the mouth wide), jaw pain, muscle spasms.",Trismus
"Limited mouth opening, jaw pain, muscle spasms, difficulty chewing/swallowing.",Trismus
"dry mouth,lack of saliva,sticky feeling in mouth,bad breath,difficulty swallowing,difficulty speaking",Xerostomia
"cracked lips,mouth sores,increased thirst,altered taste,difficulty chewing,burning sensation in mouth",Xerostomia
"dry mouth,sticky feeling in the mouth,frequent thirst,sores or split skin at the corners of the mouth,cracked lips,bad breath,difficulty chewing,speaking,and swallowing",Xerostomia
"Dry mouth, sticky feeling in mouth, frequent thirst, mouth sores, cracked lips, bad breath, difficulty chewing/speaking/swallowing.",Xerostomia
"Dry mouth, sticky feeling in mouth, frequent thirst, mouth sores, difficulty chewing/speaking/swallowing.",Xerostomia
"frequent urination,excessive thirst,unexplained weight loss,increased hunger,blurred vision,slow-healing sores",Diabetes
"fatigue,numbness or tingling in hands or feet,frequent infections,dry, itchy skin,fruity-smelling breath",Diabetes
"increased thirst,frequent urination,unexplained weight loss,increased hunger,blurred vision,slow-healing sores,frequent infections,fatigue,numbness or tingling in hands or feet (neuropathy)",Diabetes
"Increased thirst, frequent urination, unexplained weight loss, increased hunger, blurred vision, slow-healing sores, frequent infections, fatigue, numbness/tingling in hands/feet.",Diabetes
"Increased thirst/urination, unexplained weight loss, increased hunger, blurred vision, slow-healing sores, frequent infections, fatigue, numbness/tingling (hands/feet).",Diabetes
"high blood sugar,headache,blurred vision,fatigue,frequent urination,increased thirst",Hyperglycemia
"confusion,dizziness,weakness,sweating,shaking,seizures,loss of consciousness",Hyperglycemia
"high blood sugar levels,increased thirst,frequent urination,blurred vision,fatigue,headache",Hyperglycemia
"High blood sugar levels; increased thirst, frequent urination, blurred vision, fatigue, headache.",Hyperglycemia
"High blood sugar, increased thirst, frequent urination, blurred vision, fatigue, headache.",Hyperglycemia
"low blood sugar,shaking,sweating,dizziness,hunger,headache,confusion",Hypoglycemia
"irritability,anxiety,rapid heartbeat,pale skin,blurred vision,seizures,loss of consciousness",Hypoglycemia
"low blood sugar levels,shaking,sweating,dizziness,hunger,headache,confusion,irritability,anxiety",Hypoglycemia
"Low blood sugar levels, shaking, sweating, dizziness, hunger, headache, confusion, irritability.",Hypoglycemia
"Low blood sugar, shaking, sweating, dizziness, hunger, headache, confusion, irritability.",Hypoglycemia
"enlarged hands and feet,enlarged facial features,thickened skin,excessive sweating,joint pain,deepened voice",Acromegaly
"headaches,vision problems,sleep apnea,carpal tunnel syndrome,menstrual cycle irregularities,erectile dysfunction",Acromegaly
"enlarged hands and feet,enlarged facial features (protruding jaw and brow bone, enlarged nose and lips),thickened, oily skin,excessive sweating,body odor,joint pain,muscle weakness,deepened voice due to enlarged vocal cords,headaches,vision problems,sleep apnea",Acromegaly
"Enlarged hands and feet, enlarged facial features (jaw, nose, lips), thickened skin, excessive sweating, joint pain, deepened voice, headaches, vision problems.",Acromegaly
"Enlarged hands/feet, enlarged facial features, thickened skin, sweating, joint pain, deepened voice, headaches, vision problems.",Acromegaly
"excessive thirst,frequent urination,dehydration,fatigue,blurred vision,headache",Diabetes Insipidus
"large volumes of dilute urine,nocturia (frequent urination at night),low urine specific gravity,high blood sodium levels",Diabetes Insipidus
"excessive thirst,frequent urination (producing large amounts of dilute urine),dehydration",Diabetes Insipidus
"Excessive thirst, frequent urination (large volumes of dilute urine), dehydration.",Diabetes Insipidus
